facility_id,facility_name,address,city,state,zip_code,county_name,phone_number,measure_id,measure_name,compared_to_national,denominator,score,lower_estimate,higher_estimate,number_of_patients,number_of_patients_returned,footnote,start_date,end_date
330106,NORTH SHORE UNIVERSITY HOSPITAL,300 COMMUNITY DRIVE,MANHASSET,NY,11030,NASSAU,(516) 562-0100,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,No Different Than the National Rate,160,5.4,3.7,8,Not Applicable,Not Applicable,,07/01/2020,12/31/2020
330106,NORTH SHORE UNIVERSITY HOSPITAL,300 COMMUNITY DRIVE,MANHASSET,NY,11030,NASSAU,(516) 562-0100,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,No Different Than the National Rate,160,3.3,1.9,5.5,Not Applicable,Not Applicable,,07/01/2020,12/31/2020
330106,NORTH SHORE UNIVERSITY HOSPITAL,300 COMMUNITY DRIVE,MANHASSET,NY,11030,NASSAU,(516) 562-0100,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,No Different than expected,532,1.1,0.8,1.4,Not Applicable,Not Applicable,,07/01/2020,12/31/2020
330106,NORTH SHORE UNIVERSITY HOSPITAL,300 COMMUNITY DRIVE,MANHASSET,NY,11030,NASSAU,(516) 562-0100,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,No Different Than the National Rate,566,14.9,12.8,17.1,Not Applicable,Not Applicable,,07/01/2017,12/01/2019
330106,NORTH SHORE UNIVERSITY HOSPITAL,300 COMMUNITY DRIVE,MANHASSET,NY,11030,NASSAU,(516) 562-0100,READM_30_CABG,Rate of readmission for CABG,No Different Than the National Rate,276,12.7,9.9,15.9,Not Applicable,Not Applicable,,07/01/2017,12/01/2019
330106,NORTH SHORE UNIVERSITY HOSPITAL,300 COMMUNITY DRIVE,MANHASSET,NY,11030,NASSAU,(516) 562-0100,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,No Different Than the National Rate,450,20.8,18.3,23.6,Not Applicable,Not Applicable,,07/01/2017,12/01/2019
330106,NORTH SHORE UNIVERSITY HOSPITAL,300 COMMUNITY DRIVE,MANHASSET,NY,11030,NASSAU,(516) 562-0100,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,1598,23.1,21.2,25.0,Not Applicable,Not Applicable,,07/01/2017,12/01/2019
330106,NORTH SHORE UNIVERSITY HOSPITAL,300 COMMUNITY DRIVE,MANHASSET,NY,11030,NASSAU,(516) 562-0100,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,No Different Than the National Rate,1346,3.7,2.9,4.6,Not Applicable,Not Applicable,,07/01/2017,12/01/2019
330106,NORTH SHORE UNIVERSITY HOSPITAL,300 COMMUNITY DRIVE,MANHASSET,NY,11030,NASSAU,(516) 562-0100,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),Worse Than the National Rate,5581,16.5,15.6,17.3,Not Applicable,Not Applicable,,07/01/2019,12/01/2019
330106,NORTH SHORE UNIVERSITY HOSPITAL,300 COMMUNITY DRIVE,MANHASSET,NY,11030,NASSAU,(516) 562-0100,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,No Different Than the National Rate,1442,17.4,15.8,19.3,Not Applicable,Not Applicable,,07/01/2017,12/01/2019
330181,NORTHWELL HOSPITAL GLEN COVE,101 ST ANDREWS LANE,GLEN COVE,NY,11542,NASSAU,(516) 674-7300,EDAC_30_AMI,Hospital return days for heart attack patients,Average Days per 100 Discharges,44,-2.3,-32,41.3,43,6,,07/01/2017,12/01/2019
330181,NORTHWELL HOSPITAL GLEN COVE,101 ST ANDREWS LANE,GLEN COVE,NY,11542,NASSAU,(516) 674-7300,EDAC_30_HF,Hospital return days for heart failure patients,Average Days per 100 Discharges,201,-6,-27.2,19,162,58,,07/01/2017,12/01/2019
330181,NORTHWELL HOSPITAL GLEN COVE,101 ST ANDREWS LANE,GLEN COVE,NY,11542,NASSAU,(516) 674-7300,EDAC_30_PN,Hospital return days for pneumonia patients,More Days Than Average per 100 Discharges,226,24.5,3.1,48.5,200,45,,07/01/2017,12/01/2019
330181,NORTHWELL HOSPITAL GLEN COVE,101 ST ANDREWS LANE,GLEN COVE,NY,11542,NASSAU,(516) 674-7300,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",No Different Than the National Rate,299,14,9.8,20.3,Not Applicable,Not Applicable,,01/01/2018,12/31/2020
330181,NORTHWELL HOSPITAL GLEN COVE,101 ST ANDREWS LANE,GLEN COVE,NY,11542,NASSAU,(516) 674-7300,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,5,07/01/2020,12/31/2020
330181,NORTHWELL HOSPITAL GLEN COVE,101 ST ANDREWS LANE,GLEN COVE,NY,11542,NASSAU,(516) 674-7300,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,5,07/01/2020,12/31/2020
330181,NORTHWELL HOSPITAL GLEN COVE,101 ST ANDREWS LANE,GLEN COVE,NY,11542,NASSAU,(516) 674-7300,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,No Different than expected,82,1,0.6,1.5,Not Applicable,Not Applicable,,07/01/2020,12/31/2020
330181,NORTHWELL HOSPITAL GLEN COVE,101 ST ANDREWS LANE,GLEN COVE,NY,11542,NASSAU,(516) 674-7300,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,No Different Than the National Rate,44,14.7,11.9,17.9,Not Applicable,Not Applicable,,07/01/2017,12/01/2019
330181,NORTHWELL HOSPITAL GLEN COVE,101 ST ANDREWS LANE,GLEN COVE,NY,11542,NASSAU,(516) 674-7300,READM_30_CABG,Rate of readmission for CABG,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,5,07/01/2017,12/01/2019
330181,NORTHWELL HOSPITAL GLEN COVE,101 ST ANDREWS LANE,GLEN COVE,NY,11542,NASSAU,(516) 674-7300,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,No Different Than the National Rate,89,19.3,16.2,22.9,Not Applicable,Not Applicable,,07/01/2017,12/01/2019
330181,NORTHWELL HOSPITAL GLEN COVE,101 ST ANDREWS LANE,GLEN COVE,NY,11542,NASSAU,(516) 674-7300,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,201,21.7,18.3,25.5,Not Applicable,Not Applicable,,07/01/2017,12/01/2019
330181,NORTHWELL HOSPITAL GLEN COVE,101 ST ANDREWS LANE,GLEN COVE,NY,11542,NASSAU,(516) 674-7300,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,7,07/01/2017,12/01/2019
330181,NORTHWELL HOSPITAL GLEN COVE,101 ST ANDREWS LANE,GLEN COVE,NY,11542,NASSAU,(516) 674-7300,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),No Different Than the National Rate,475,14.3,13.0,15.9,Not Applicable,Not Applicable,,07/01/2019,12/01/2019
330181,NORTHWELL HOSPITAL GLEN COVE,101 ST ANDREWS LANE,GLEN COVE,NY,11542,NASSAU,(516) 674-7300,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,No Different Than the National Rate,226,16.2,13.6,19.3,Not Applicable,Not Applicable,,07/01/2017,12/01/2019
330182,ST FRANCIS HOSPITAL - THE HEART CENTER,100 PORT WASHINGTON BOULEVARD,ROSLYN,NY,11576,NASSAU,(516) 562-6000,EDAC_30_AMI,Hospital return days for heart attack patients,More Days Than Average per 100 Discharges,649,47.3,29,67.2,627,170,,07/01/2017,12/01/2019
330182,ST FRANCIS HOSPITAL - THE HEART CENTER,100 PORT WASHINGTON BOULEVARD,ROSLYN,NY,11576,NASSAU,(516) 562-6000,EDAC_30_HF,Hospital return days for heart failure patients,More Days Than Average per 100 Discharges,1749,24,12,37.2,1404,500,,07/01/2017,12/01/2019
330182,ST FRANCIS HOSPITAL - THE HEART CENTER,100 PORT WASHINGTON BOULEVARD,ROSLYN,NY,11576,NASSAU,(516) 562-6000,EDAC_30_PN,Hospital return days for pneumonia patients,More Days Than Average per 100 Discharges,890,27.1,11.7,44.4,808,188,,07/01/2017,12/01/2019
330182,ST FRANCIS HOSPITAL - THE HEART CENTER,100 PORT WASHINGTON BOULEVARD,ROSLYN,NY,11576,NASSAU,(516) 562-6000,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",No Different Than the National Rate,675,13.6,10.1,18.2,Not Applicable,Not Applicable,,01/01/2018,12/31/2020
330182,ST FRANCIS HOSPITAL - THE HEART CENTER,100 PORT WASHINGTON BOULEVARD,ROSLYN,NY,11576,NASSAU,(516) 562-6000,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,No Different Than the National Rate,153,6.4,4.5,8.8,Not Applicable,Not Applicable,,07/01/2020,12/31/2020
330182,ST FRANCIS HOSPITAL - THE HEART CENTER,100 PORT WASHINGTON BOULEVARD,ROSLYN,NY,11576,NASSAU,(516) 562-6000,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,No Different Than the National Rate,153,2.9,1.8,4.7,Not Applicable,Not Applicable,,07/01/2020,12/31/2020
330182,ST FRANCIS HOSPITAL - THE HEART CENTER,100 PORT WASHINGTON BOULEVARD,ROSLYN,NY,11576,NASSAU,(516) 562-6000,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,No Different than expected,473,1,0.8,1.4,Not Applicable,Not Applicable,,07/01/2020,12/31/2020
330182,ST FRANCIS HOSPITAL - THE HEART CENTER,100 PORT WASHINGTON BOULEVARD,ROSLYN,NY,11576,NASSAU,(516) 562-6000,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,No Different Than the National Rate,649,15.9,14.0,18.1,Not Applicable,Not Applicable,,07/01/2017,12/01/2019
330182,ST FRANCIS HOSPITAL - THE HEART CENTER,100 PORT WASHINGTON BOULEVARD,ROSLYN,NY,11576,NASSAU,(516) 562-6000,READM_30_CABG,Rate of readmission for CABG,No Different Than the National Rate,472,14.7,12.1,17.7,Not Applicable,Not Applicable,,07/01/2017,12/01/2019
330182,ST FRANCIS HOSPITAL - THE HEART CENTER,100 PORT WASHINGTON BOULEVARD,ROSLYN,NY,11576,NASSAU,(516) 562-6000,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,No Different Than the National Rate,302,19.8,17.1,22.9,Not Applicable,Not Applicable,,07/01/2017,12/01/2019
330182,ST FRANCIS HOSPITAL - THE HEART CENTER,100 PORT WASHINGTON BOULEVARD,ROSLYN,NY,11576,NASSAU,(516) 562-6000,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,1749,23.2,21.4,25.0,Not Applicable,Not Applicable,,07/01/2017,12/01/2019
330182,ST FRANCIS HOSPITAL - THE HEART CENTER,100 PORT WASHINGTON BOULEVARD,ROSLYN,NY,11576,NASSAU,(516) 562-6000,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,No Different Than the National Rate,1104,3.1,2.4,4.0,Not Applicable,Not Applicable,,07/01/2017,12/01/2019
330182,ST FRANCIS HOSPITAL - THE HEART CENTER,100 PORT WASHINGTON BOULEVARD,ROSLYN,NY,11576,NASSAU,(516) 562-6000,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),No Different Than the National Rate,4030,15.8,15.0,16.6,Not Applicable,Not Applicable,,07/01/2019,12/01/2019
330182,ST FRANCIS HOSPITAL - THE HEART CENTER,100 PORT WASHINGTON BOULEVARD,ROSLYN,NY,11576,NASSAU,(516) 562-6000,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,No Different Than the National Rate,890,16.7,14.8,18.7,Not Applicable,Not Applicable,,07/01/2017,12/01/2019
330195,LONG ISLAND JEWISH MEDICAL CENTER,270 - 05 76TH AVENUE,NEW HYDE PARK,NY,11040,NASSAU,(718) 470-7000,EDAC_30_AMI,Hospital return days for heart attack patients,More Days Than Average per 100 Discharges,196,27.7,4.3,55.6,190,46,,07/01/2017,12/01/2019
330195,LONG ISLAND JEWISH MEDICAL CENTER,270 - 05 76TH AVENUE,NEW HYDE PARK,NY,11040,NASSAU,(718) 470-7000,EDAC_30_HF,Hospital return days for heart failure patients,More Days Than Average per 100 Discharges,1309,30.2,15.6,45.5,1063,336,,07/01/2017,12/01/2019
330195,LONG ISLAND JEWISH MEDICAL CENTER,270 - 05 76TH AVENUE,NEW HYDE PARK,NY,11040,NASSAU,(718) 470-7000,EDAC_30_PN,Hospital return days for pneumonia patients,More Days Than Average per 100 Discharges,1433,57.9,43.5,72.4,1310,346,,07/01/2017,12/01/2019
330195,LONG ISLAND JEWISH MEDICAL CENTER,270 - 05 76TH AVENUE,NEW HYDE PARK,NY,11040,NASSAU,(718) 470-7000,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",No Different Than the National Rate,722,12.5,9.1,17,Not Applicable,Not Applicable,,01/01/2018,12/31/2020
330195,LONG ISLAND JEWISH MEDICAL CENTER,270 - 05 76TH AVENUE,NEW HYDE PARK,NY,11040,NASSAU,(718) 470-7000,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,No Different Than the National Rate,765,6.8,5.5,8.4,Not Applicable,Not Applicable,,07/01/2020,12/31/2020
330195,LONG ISLAND JEWISH MEDICAL CENTER,270 - 05 76TH AVENUE,NEW HYDE PARK,NY,11040,NASSAU,(718) 470-7000,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,No Different Than the National Rate,765,3.4,2.6,4.6,Not Applicable,Not Applicable,,07/01/2020,12/31/2020
330195,LONG ISLAND JEWISH MEDICAL CENTER,270 - 05 76TH AVENUE,NEW HYDE PARK,NY,11040,NASSAU,(718) 470-7000,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,No Different than expected,513,0.8,0.6,1.1,Not Applicable,Not Applicable,,07/01/2020,12/31/2020
330195,LONG ISLAND JEWISH MEDICAL CENTER,270 - 05 76TH AVENUE,NEW HYDE PARK,NY,11040,NASSAU,(718) 470-7000,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,No Different Than the National Rate,196,16.1,13.4,19.2,Not Applicable,Not Applicable,,07/01/2017,12/01/2019
330195,LONG ISLAND JEWISH MEDICAL CENTER,270 - 05 76TH AVENUE,NEW HYDE PARK,NY,11040,NASSAU,(718) 470-7000,READM_30_CABG,Rate of readmission for CABG,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,5,07/01/2017,12/01/2019
330195,LONG ISLAND JEWISH MEDICAL CENTER,270 - 05 76TH AVENUE,NEW HYDE PARK,NY,11040,NASSAU,(718) 470-7000,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,No Different Than the National Rate,507,20.1,17.6,22.8,Not Applicable,Not Applicable,,07/01/2017,12/01/2019
330195,LONG ISLAND JEWISH MEDICAL CENTER,270 - 05 76TH AVENUE,NEW HYDE PARK,NY,11040,NASSAU,(718) 470-7000,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,1309,22.2,20.3,24.3,Not Applicable,Not Applicable,,07/01/2017,12/01/2019
330195,LONG ISLAND JEWISH MEDICAL CENTER,270 - 05 76TH AVENUE,NEW HYDE PARK,NY,11040,NASSAU,(718) 470-7000,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,No Different Than the National Rate,865,3.9,3.0,5.1,Not Applicable,Not Applicable,,07/01/2017,12/01/2019
330195,LONG ISLAND JEWISH MEDICAL CENTER,270 - 05 76TH AVENUE,NEW HYDE PARK,NY,11040,NASSAU,(718) 470-7000,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),Worse Than the National Rate,4283,17.1,15.8,17.9,Not Applicable,Not Applicable,,07/01/2019,12/01/2019
330195,LONG ISLAND JEWISH MEDICAL CENTER,270 - 05 76TH AVENUE,NEW HYDE PARK,NY,11040,NASSAU,(718) 470-7000,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,Worse Than the National Rate,1433,19.4,17.7,21.3,Not Applicable,Not Applicable,,07/01/2017,12/01/2019
330198,MOUNT SINAI SOUTH NASSAU,ONE HEALTHY WAY,OCEANSIDE,NY,11572,NASSAU,(516) 632-3000,EDAC_30_AMI,Hospital return days for heart attack patients,Average Days per 100 Discharges,230,14.8,-3.6,36.6,223,57,,07/01/2017,12/01/2019
330198,MOUNT SINAI SOUTH NASSAU,ONE HEALTHY WAY,OCEANSIDE,NY,11572,NASSAU,(516) 632-3000,EDAC_30_HF,Hospital return days for heart failure patients,More Days Than Average per 100 Discharges,791,27.6,11.3,44.6,647,212,,07/01/2017,12/01/2019
330198,MOUNT SINAI SOUTH NASSAU,ONE HEALTHY WAY,OCEANSIDE,NY,11572,NASSAU,(516) 632-3000,EDAC_30_PN,Hospital return days for pneumonia patients,More Days Than Average per 100 Discharges,1291,69.3,55,84.5,1133,340,,07/01/2017,12/01/2019
330198,MOUNT SINAI SOUTH NASSAU,ONE HEALTHY WAY,OCEANSIDE,NY,11572,NASSAU,(516) 632-3000,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",No Different Than the National Rate,824,14.3,10.4,19.3,Not Applicable,Not Applicable,,01/01/2018,12/31/2020
330198,MOUNT SINAI SOUTH NASSAU,ONE HEALTHY WAY,OCEANSIDE,NY,11572,NASSAU,(516) 632-3000,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,No Different Than the National Rate,105,7.2,5.2,9.9,Not Applicable,Not Applicable,,07/01/2020,12/31/2020
330198,MOUNT SINAI SOUTH NASSAU,ONE HEALTHY WAY,OCEANSIDE,NY,11572,NASSAU,(516) 632-3000,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,No Different Than the National Rate,105,4.1,2.6,6.4,Not Applicable,Not Applicable,,07/01/2020,12/31/2020
330198,MOUNT SINAI SOUTH NASSAU,ONE HEALTHY WAY,OCEANSIDE,NY,11572,NASSAU,(516) 632-3000,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,No Different than expected,262,1.2,0.8,1.6,Not Applicable,Not Applicable,,07/01/2020,12/31/2020
330198,MOUNT SINAI SOUTH NASSAU,ONE HEALTHY WAY,OCEANSIDE,NY,11572,NASSAU,(516) 632-3000,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,No Different Than the National Rate,230,15.8,13.2,19.0,Not Applicable,Not Applicable,,07/01/2017,12/01/2019
330198,MOUNT SINAI SOUTH NASSAU,ONE HEALTHY WAY,OCEANSIDE,NY,11572,NASSAU,(516) 632-3000,READM_30_CABG,Rate of readmission for CABG,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,5,07/01/2017,12/01/2019
330198,MOUNT SINAI SOUTH NASSAU,ONE HEALTHY WAY,OCEANSIDE,NY,11572,NASSAU,(516) 632-3000,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,No Different Than the National Rate,561,20.9,18.5,23.5,Not Applicable,Not Applicable,,07/01/2017,12/01/2019
330198,MOUNT SINAI SOUTH NASSAU,ONE HEALTHY WAY,OCEANSIDE,NY,11572,NASSAU,(516) 632-3000,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,791,22.5,20.0,25.2,Not Applicable,Not Applicable,,07/01/2017,12/01/2019
330198,MOUNT SINAI SOUTH NASSAU,ONE HEALTHY WAY,OCEANSIDE,NY,11572,NASSAU,(516) 632-3000,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,No Different Than the National Rate,200,3.5,2.4,4.9,Not Applicable,Not Applicable,,07/01/2017,12/01/2019
330198,MOUNT SINAI SOUTH NASSAU,ONE HEALTHY WAY,OCEANSIDE,NY,11572,NASSAU,(516) 632-3000,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),No Different Than the National Rate,2109,16,15.0,17.0,Not Applicable,Not Applicable,,07/01/2019,12/01/2019
330198,MOUNT SINAI SOUTH NASSAU,ONE HEALTHY WAY,OCEANSIDE,NY,11572,NASSAU,(516) 632-3000,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,Worse Than the National Rate,1291,19.3,17.5,21.2,Not Applicable,Not Applicable,,07/01/2017,12/01/2019
330259,MERCY MEDICAL CENTER,1000 NORTH VILLAGE AVENUE,ROCKVILLE CENTRE,NY,11570,NASSAU,(516) 705-2525,EDAC_30_AMI,Hospital return days for heart attack patients,More Days Than Average per 100 Discharges,52,70.1,26.1,122.7,52,15,,07/01/2017,12/01/2019
330259,MERCY MEDICAL CENTER,1000 NORTH VILLAGE AVENUE,ROCKVILLE CENTRE,NY,11570,NASSAU,(516) 705-2525,EDAC_30_HF,Hospital return days for heart failure patients,More Days Than Average per 100 Discharges,285,33.3,7.6,61.9,232,67,,07/01/2017,12/01/2019
330259,MERCY MEDICAL CENTER,1000 NORTH VILLAGE AVENUE,ROCKVILLE CENTRE,NY,11570,NASSAU,(516) 705-2525,EDAC_30_PN,Hospital return days for pneumonia patients,More Days Than Average per 100 Discharges,350,81.6,57.7,111,327,83,,07/01/2017,12/01/2019
